AGE,Monthly Gross Income,Relationship Status,"Ownership of vehicle (car, jeep)",Length of service/Buisness,CIB Clearence,Occupation,Gender,Loan Amount,Number of dependent,Loan Status
18,94211,0,0,14,1,0,1,125940,7,1
36,56198,1,0,14,1,0,1,354802,1,0
19,115649,1,0,25,0,0,1,852344,3,0
43,54553,1,1,24,0,0,1,413795,2,0
49,137778,1,1,25,1,0,0,353380,1,1
23,132018,0,0,14,0,1,1,798801,1,0
49,47766,0,1,19,1,1,1,120688,1,0
21,47006,1,1,3,0,0,1,638760,4,0
28,46422,0,1,17,0,1,0,180436,4,0
34,131590,1,0,14,0,0,0,659959,1,0
55,27205,1,0,10,0,1,1,291881,6,0
41,131477,1,1,13,0,0,1,435443,6,1
22,43202,1,0,22,0,1,1,373104,6,0
51,76692,0,1,4,0,0,1,307692,2,0
23,35855,0,1,11,1,0,0,748406,1,0
39,40095,1,1,15,1,1,0,495290,6,0
28,64241,1,0,15,0,0,0,304433,1,0
33,118119,0,0,24,0,1,1,396977,3,1
50,67003,0,1,2,1,0,1,846101,6,0
26,109837,0,0,11,0,0,1,135976,3,1
23,109283,1,1,2,1,0,1,825570,3,0
33,138805,0,0,23,1,0,0,338470,6,1
46,108846,1,0,5,1,1,0,606830,5,0
20,37927,1,0,13,1,1,0,207549,3,0
37,135589,0,1,1,1,1,1,230120,6,1
53,130657,1,1,7,0,1,1,165658,7,1
36,81630,0,1,7,0,1,1,674396,3,0
43,119428,1,0,10,1,0,1,252552,2,1
20,137035,1,1,6,0,0,1,412282,4,1
36,141244,1,1,20,1,1,0,109443,4,1
37,84518,1,1,12,0,0,1,956401,4,0
49,96326,1,1,13,0,1,1,756350,7,0
24,135243,1,0,24,0,0,0,618416,5,0
58,27748,0,0,11,0,1,0,353685,1,0
50,149164,0,1,18,0,0,1,564308,3,1
57,68311,1,0,2,0,0,0,978630,7,0
56,37692,0,0,16,0,1,1,423480,2,0
35,139954,1,0,2,0,0,1,352585,5,0
57,145035,0,0,19,1,1,0,391241,7,1
18,94507,0,0,6,1,0,1,825605,4,0
28,95152,1,1,1,0,1,1,512402,5,0
45,19926,0,0,11,0,0,1,413500,7,0
42,18969,1,1,18,0,1,0,971176,2,0
40,50733,0,1,10,1,0,0,868256,6,0
48,84855,1,1,18,0,0,0,188015,5,1
47,56743,0,0,1,0,1,0,884229,4,0
59,145193,1,0,19,1,1,1,324086,1,0
52,122445,0,0,16,1,1,0,506138,7,0
24,35323,1,0,7,1,1,1,323687,4,0
33,31428,0,1,15,0,0,0,786126,7,0
43,49578,1,1,1,1,0,0,250859,4,0
19,101486,0,1,23,0,0,1,438063,4,0
18,79140,1,0,21,1,0,0,990286,7,0
29,122325,0,1,9,0,0,0,677322,5,0
22,98829,1,1,2,0,1,1,721719,2,0
54,21364,1,1,17,0,1,0,496423,4,0
49,143867,1,0,25,1,1,1,390378,6,1
26,146763,1,1,24,0,1,0,654856,5,0
58,110598,0,1,10,0,1,1,692921,2,0
52,72062,0,0,6,0,0,0,209582,1,0
36,103302,0,1,5,1,0,1,941135,4,0
33,78928,1,0,8,0,1,0,741922,3,0
20,56347,1,1,8,0,1,1,808814,5,0
37,18121,1,0,5,0,1,0,462072,6,0
41,98793,1,0,12,0,0,0,836864,1,0
50,43164,1,0,7,1,1,0,569901,1,0
41,40491,0,1,13,0,1,1,291703,1,0
28,74222,0,1,13,1,1,1,961685,5,0
25,18748,0,0,17,1,0,0,216170,2,0
53,41553,1,0,4,0,1,0,116642,3,0
55,131547,1,0,18,1,0,0,703464,6,0
57,75380,1,0,10,1,1,0,182373,2,1
37,59331,1,0,3,1,1,0,371134,4,0
52,135617,1,0,12,0,0,0,807023,3,0
42,54560,1,0,1,1,0,0,104170,2,1
52,68865,1,0,11,1,1,0,255889,4,1
42,90910,0,0,18,0,1,0,757072,7,0
46,92986,0,0,13,0,0,0,353186,3,1
35,25068,1,0,17,1,0,1,960119,5,0
35,69460,1,0,8,1,1,1,807839,6,0
19,115766,1,1,20,1,0,0,503689,7,0
52,61418,0,0,19,0,0,0,836199,6,0
33,41206,0,1,17,1,1,0,878083,4,0
58,143180,1,1,2,0,1,1,447175,2,0
53,15287,0,1,3,1,1,1,121625,3,0
50,37337,0,0,3,1,0,0,244833,4,0
21,147233,0,1,6,0,1,0,960886,4,0
50,115667,1,0,10,1,1,0,888253,5,0
31,105071,0,1,24,0,0,1,724408,4,0
38,113064,0,0,22,1,1,1,279718,3,1
37,121511,1,0,18,0,0,1,345851,1,1
25,18178,1,1,18,0,0,1,660488,3,0
24,46831,0,1,14,1,1,0,970321,3,0
20,148248,1,0,16,0,1,0,279322,5,1
34,118306,0,1,7,1,0,0,446448,5,1
50,127025,0,0,1,0,1,0,398591,6,0
29,105417,1,0,17,0,0,0,784544,7,0
39,26984,1,0,23,0,0,1,542970,6,0
39,104312,0,1,25,1,1,0,510027,4,0
47,98291,1,0,5,0,1,0,257667,6,0
55,22135,1,0,1,0,0,1,715856,5,0
55,15320,0,0,21,0,0,0,992934,4,0
25,103774,0,0,17,1,1,0,728855,1,0
44,113071,0,1,10,1,0,0,610338,2,0
44,124863,0,1,12,0,0,1,904189,5,0
51,56777,0,1,25,0,0,0,207136,7,0
38,61250,0,1,20,1,1,1,326401,5,0
47,88034,1,0,25,0,0,1,292421,1,1
50,119940,1,0,2,0,0,1,793290,7,0
45,55130,0,0,23,0,1,1,716630,5,0
50,148609,1,0,16,0,0,0,188760,6,1
22,30216,1,0,15,0,0,1,587988,6,0
36,99149,0,0,13,0,1,0,234883,6,1
21,18009,1,1,18,1,1,1,785728,1,0
52,104904,1,0,20,0,1,0,501853,4,0
34,30029,0,0,22,0,1,0,898565,5,0
45,117171,1,0,14,1,1,0,671274,5,0
47,129456,1,1,18,1,0,0,522087,6,0
46,77559,0,0,2,1,0,0,848467,4,0
23,79892,1,0,2,1,1,0,607405,5,0
52,85409,1,0,3,0,0,0,551549,3,0
58,48065,1,1,5,1,1,0,155508,1,0
54,135544,0,0,25,0,0,0,363545,2,1
41,122340,0,0,16,1,0,0,765364,3,0
46,48783,1,1,22,1,0,1,329921,7,0
48,49152,1,0,15,1,1,0,266373,2,0
52,73741,0,1,12,0,1,0,986745,3,0
50,122049,0,0,9,1,1,0,586760,3,0
38,44092,1,1,14,1,0,1,236973,7,0
49,101483,0,0,21,1,1,1,956053,7,0
40,136585,1,0,16,0,0,0,481817,3,1
50,74754,1,1,11,0,0,0,883266,1,0
20,102592,0,0,6,1,1,1,804169,2,0
35,109543,0,0,10,0,0,0,750833,4,0
42,58169,1,1,8,1,0,0,967731,4,0
59,69745,1,0,16,0,0,1,682459,6,0
48,125168,0,1,3,1,1,1,372498,5,1
20,128985,1,0,2,0,1,0,330651,1,0
57,20543,0,1,16,1,1,0,683148,6,0
41,36067,0,0,19,0,0,0,895936,6,0
49,66033,0,0,9,0,0,1,285392,1,0
39,60256,0,1,16,1,1,0,234595,1,1
40,101803,0,0,22,1,0,0,960675,3,0
19,133843,1,1,4,0,1,1,448847,1,0
44,43992,0,1,10,1,1,0,527003,4,0
59,63803,0,1,19,1,1,0,977839,1,0
19,124975,0,0,13,1,1,0,648270,7,0
43,41270,0,0,18,1,0,0,363193,3,0
34,22452,0,0,15,0,0,1,375525,2,0
57,56486,0,1,4,1,0,1,615477,6,0
50,29859,0,1,9,0,1,1,863113,1,0
26,47083,1,1,4,0,0,0,348038,7,0
60,82708,1,0,16,1,1,0,672678,7,0
56,126462,1,1,21,1,1,0,856649,6,0
46,108076,1,0,15,0,1,0,374205,2,1
59,34053,0,0,24,1,0,1,171241,5,0
43,104745,1,0,2,1,1,0,936728,3,0
52,84517,0,0,14,0,0,0,517230,6,0
42,94267,1,0,3,0,0,0,882853,1,0
41,95077,1,0,22,0,0,1,688823,5,0
30,91623,0,0,23,1,0,0,461153,5,0
24,146004,0,0,4,1,0,0,951623,2,0
53,68687,1,1,1,0,0,0,151576,6,0
37,83312,1,0,23,0,0,0,652435,6,0
18,122615,1,0,9,1,0,0,216622,4,1
25,145976,1,1,17,1,1,1,954452,4,0
33,42564,0,1,14,1,1,0,494961,4,0
31,43835,1,1,17,0,0,0,515364,6,0
29,22697,1,1,1,1,0,0,329155,6,0
40,95165,1,0,10,1,0,0,141929,4,1
32,72823,1,1,23,0,0,0,162637,3,0
45,24615,1,1,16,1,0,1,605494,7,0
51,145499,0,1,25,0,1,0,553207,7,1
19,91436,0,1,19,1,0,1,253084,7,1
49,135562,0,0,24,0,0,1,952745,1,0
40,86117,0,1,25,0,0,0,109525,1,1
39,49782,0,1,3,0,1,0,601829,3,0
42,93533,1,1,12,1,1,1,229228,2,1
39,87684,0,1,3,1,0,0,667636,7,0
39,94558,0,0,15,1,1,1,160447,7,1
59,96422,1,1,17,1,1,1,210709,1,0
23,21638,0,1,18,0,1,0,856600,6,0
32,52419,0,1,7,1,1,0,186030,5,1
60,48377,0,0,19,1,1,1,822241,6,0
54,121244,0,1,7,0,1,0,704154,1,0
50,38382,1,1,5,0,1,1,676114,3,0
25,82789,1,0,8,0,1,1,467952,2,0
22,125634,0,1,21,0,0,0,306355,1,1
56,146936,1,0,16,1,0,1,489893,3,1
21,114572,0,0,16,0,1,1,195822,5,1
23,138664,1,1,19,1,1,1,390172,4,1
49,125674,1,1,25,1,0,1,516656,5,0
47,118533,1,0,15,0,0,1,657175,5,0
52,96845,1,0,7,0,1,1,532153,7,0
57,84590,1,1,5,0,0,0,689333,2,0
33,142775,1,0,23,0,1,1,728424,1,0
30,81471,1,0,11,0,0,1,882795,4,0
59,58298,1,1,10,1,1,0,359797,3,0
47,63924,1,0,25,0,0,0,570998,4,0
36,24726,1,0,21,1,1,0,127428,1,0
34,55542,1,0,23,0,0,1,232685,2,0
36,49753,0,0,9,1,0,0,934775,1,0
45,94788,1,0,1,1,1,1,697447,3,0
43,36316,0,0,20,1,1,1,201337,4,0
54,99698,1,1,1,0,0,1,553343,5,0
43,30960,0,0,8,0,0,1,414232,1,0
40,45791,0,1,3,0,1,0,302267,6,0
26,40216,0,1,2,1,0,1,276095,2,0
29,79427,1,1,4,1,0,1,653941,2,0
18,127470,1,1,19,0,0,1,570832,4,0
18,88290,1,1,11,0,0,1,177512,5,1
51,62014,1,1,5,1,0,1,733410,3,0
49,65519,0,1,24,1,1,1,357496,5,0
42,19042,1,1,10,0,0,0,640006,4,0
57,64052,1,0,24,0,0,0,699165,5,0
18,29389,1,1,23,0,1,1,678507,4,0
33,110961,1,1,8,1,1,1,475644,5,0
56,83111,1,1,13,1,1,1,285026,1,1
22,120058,1,0,5,0,1,1,650573,2,0
39,108715,1,1,12,0,1,1,414454,4,1
46,65733,1,0,13,0,0,0,486390,4,0
20,49754,0,1,22,0,0,1,734833,2,0
29,100886,0,1,8,0,0,0,546858,6,0
43,104524,1,0,15,1,1,0,882819,6,0
33,96006,1,1,13,0,1,0,981305,3,0
54,39704,1,0,1,1,1,0,755815,4,0
39,109913,1,0,22,1,0,0,697467,1,0
46,109108,0,1,6,1,0,1,751473,5,0
31,22493,0,1,11,1,0,1,825516,1,0
45,84639,1,0,13,1,0,1,895299,4,0
22,69383,0,0,21,1,0,1,912009,3,0
47,149066,0,1,20,1,0,0,784007,4,0
22,62234,1,1,1,1,1,0,191007,3,1
29,143674,1,1,11,0,0,1,301707,2,1
33,20594,1,0,11,0,0,0,244959,5,0
43,22371,0,1,8,0,0,1,143314,1,0
43,62315,0,0,22,0,0,0,279275,3,0
38,142251,1,1,3,0,0,0,100059,1,0
56,94526,1,0,19,1,1,0,505889,7,0
53,101005,0,0,12,1,0,0,548567,2,0
50,120573,0,1,6,1,0,1,188231,4,1
47,72514,1,0,23,1,1,0,564283,3,0
54,90986,0,0,8,1,1,1,299372,5,1
40,100959,1,0,5,0,0,1,483840,7,0
27,17035,1,0,10,0,0,0,888226,3,0
22,124767,0,0,22,1,0,1,362141,6,1
53,32241,0,1,16,0,0,1,372865,4,0
51,67975,0,1,12,0,0,1,814646,4,0
48,71396,1,0,17,0,1,1,892118,5,0
27,133920,1,1,6,0,1,0,981435,5,0
36,101226,1,0,9,0,0,0,858651,2,0
49,99719,1,0,10,1,0,0,819623,7,0
18,78014,1,1,20,0,1,0,162722,7,0
22,54346,1,0,14,0,1,1,807933,1,0
21,85411,0,0,14,1,0,1,243960,3,1
33,91441,1,0,17,1,0,0,925780,2,0
41,61121,1,1,25,1,0,0,375677,1,0
33,75197,1,1,16,1,0,1,252988,7,1
19,99577,1,0,4,1,0,0,161422,2,1
45,109634,0,0,2,1,0,1,543741,6,0
49,115211,1,0,16,1,1,0,496769,5,0
44,16466,0,0,1,1,1,1,894576,5,0
37,45771,0,0,3,0,1,1,469722,4,0
41,98886,1,1,23,1,1,0,866103,3,0
29,80911,1,1,11,1,0,0,191045,3,1
52,103422,0,1,16,0,1,0,819072,3,0
50,88369,0,1,18,1,1,1,976515,2,0
50,16893,1,0,15,1,0,0,884946,2,0
60,45573,0,0,9,1,1,0,263590,3,0
54,111907,1,1,12,1,0,0,123830,4,1
29,114956,1,1,18,0,0,0,997013,1,0
20,133580,0,0,5,0,1,0,960717,6,0
18,106404,1,1,24,1,1,1,408697,2,1
50,72724,1,0,8,0,1,0,843245,3,0
57,101133,1,0,3,0,0,0,588041,5,0
27,30989,0,0,2,0,1,0,915127,2,0
60,43931,0,1,25,0,0,0,568486,1,0
46,24290,0,1,19,0,1,1,901135,2,0
30,136136,1,1,8,0,0,1,252550,1,1
29,94878,0,1,2,1,1,0,167918,1,1
48,105477,0,1,19,1,1,0,392272,2,1
19,141299,0,0,1,0,0,0,677538,1,0
52,120686,1,1,22,0,1,1,322191,2,1
40,122286,1,0,13,0,1,1,732065,2,0
34,55475,0,0,23,1,0,0,399270,4,0
43,97666,0,0,20,1,1,1,730904,5,0
25,111622,0,1,17,1,1,1,671087,6,0
46,122573,1,1,3,1,0,1,325300,1,1
43,61546,0,1,9,1,1,1,551464,2,0
27,22008,1,1,5,1,0,1,395051,1,0
43,63291,1,1,6,0,1,1,107644,2,0
51,51386,1,1,4,1,1,0,396727,6,0
58,105909,0,1,17,1,0,1,154560,7,1
24,48040,0,1,21,1,1,0,595821,2,0
21,75354,1,0,21,0,0,1,472778,2,0
28,93543,1,1,21,1,0,0,729877,5,0
46,33157,1,0,16,0,1,1,404132,1,0
53,50315,1,0,16,0,0,0,503662,5,0
42,50932,0,0,22,1,1,0,385306,5,0
38,128880,0,0,11,1,0,1,245222,7,1
53,147018,1,1,2,1,1,0,195373,7,1
27,29693,1,1,17,0,1,0,610323,5,0
54,42241,1,0,15,1,0,1,619399,5,0
26,130194,0,0,18,0,1,0,660291,4,0
41,110790,1,0,10,0,1,1,151746,1,1
52,87255,0,1,6,1,1,0,166923,1,1
52,26350,1,0,21,1,0,0,570961,2,0
53,71809,0,0,16,1,1,1,756343,1,0
35,116894,0,1,5,0,1,0,489454,6,0
56,112557,1,0,12,1,0,0,147114,5,1
49,46728,0,1,6,0,1,1,721975,3,0
41,32576,0,1,14,1,0,1,151274,7,0
40,98384,0,0,23,0,0,1,318411,1,1
49,15390,0,0,16,1,1,0,905810,7,0
54,60436,1,0,25,1,0,0,352816,7,0
29,26569,1,1,7,0,1,1,369692,3,0
30,37490,1,1,2,0,1,0,663909,7,0
40,60875,1,1,6,1,1,0,872948,6,0
42,20867,1,0,9,0,0,0,821671,4,0
52,95820,0,0,7,0,0,0,357870,2,1
58,114515,0,0,2,0,1,0,711189,2,0
47,24121,0,0,19,0,1,1,851603,2,0
34,16539,0,0,8,1,0,1,739711,4,0
37,142402,1,0,11,0,1,0,876825,5,0
42,89229,1,1,25,1,0,0,189673,7,1
39,65435,0,1,4,1,0,0,380014,3,0
30,78965,1,1,16,1,1,1,145738,1,1
36,126048,0,0,25,0,1,1,167537,5,1
53,111444,0,1,18,1,1,1,341015,2,1
29,84922,1,1,13,1,0,1,507972,2,0
58,112799,1,1,5,1,0,1,419851,7,1
36,108948,1,0,2,1,0,0,848759,5,0
29,23947,1,0,11,1,0,0,241118,3,0
26,63785,1,1,1,0,1,0,254724,5,0
24,134963,1,0,13,1,0,0,417173,4,1
45,15507,1,0,5,0,1,1,399100,2,0
31,26618,0,0,18,1,0,0,376030,3,0
48,89286,1,0,14,1,0,0,448425,7,0
36,31122,0,1,13,0,1,0,466797,1,0
33,124598,0,0,7,0,0,0,270020,7,1
22,101436,1,1,8,1,1,1,828690,2,0
52,43633,0,1,18,1,0,1,735993,7,0
29,39495,1,0,7,1,1,0,215431,5,0
42,79550,0,0,20,1,0,0,892594,3,0
38,51483,0,0,17,1,0,0,476371,2,0
53,128181,0,1,16,0,1,0,182293,1,1
40,49069,1,1,11,1,1,1,761265,1,0
33,134873,0,1,19,1,1,1,587517,6,0
56,131843,0,1,1,0,0,0,480959,5,0
59,86947,0,1,21,0,0,0,750902,4,0
56,110761,1,1,8,1,0,1,210580,5,1
31,128753,0,1,1,0,0,1,419627,3,0
48,146764,1,0,9,0,0,0,662745,5,0
22,43926,0,1,19,0,0,0,709228,3,0
52,114782,0,1,21,1,1,0,508724,6,0
40,119700,0,1,9,1,0,1,643964,6,0
46,88984,1,1,21,1,0,1,450940,6,0
60,64593,0,0,25,0,1,1,696721,4,0
28,90609,0,1,10,1,1,1,482170,6,0
35,20209,0,1,24,1,1,1,494780,5,0
29,141700,0,0,23,0,1,0,607854,1,0
26,101597,1,0,11,1,1,0,769230,3,0
27,22211,0,1,1,0,0,0,376363,7,0
34,24927,0,1,20,0,0,0,313049,3,0
55,132333,0,1,25,0,1,1,513096,1,1
24,91382,0,1,8,0,1,0,220082,7,1
30,118780,1,1,20,1,0,1,503595,5,0
57,55696,0,1,12,1,1,1,809654,4,0
59,82616,0,0,1,1,0,0,102948,2,0
26,65013,1,0,10,0,0,0,612377,5,0
44,64556,0,1,4,1,1,0,660190,6,0
19,138723,0,1,15,1,0,0,314579,7,1
22,41140,0,1,19,0,0,0,108969,5,0
46,16184,1,0,6,0,0,0,687093,3,0
54,126361,0,1,5,1,0,1,382790,3,1
55,20606,1,0,5,0,1,1,291638,4,0
36,31555,1,0,18,1,1,1,155818,6,0
25,105385,1,1,3,0,1,0,556667,7,0
18,73502,1,0,22,0,1,1,627966,4,0
39,118844,1,1,2,1,1,0,620775,4,0
34,106321,1,0,4,0,0,0,864404,1,0
24,64056,1,1,18,0,0,1,717343,7,0
42,113234,0,1,9,0,0,1,739974,2,0
21,56850,0,0,19,1,0,0,223439,2,1
